price,form,interface,speed,gig,sgig,brand,supplier,comment
299.00,M.2,NVME,?,960,0.311,Adata,CPL,ADATA 960GB SSD XPG SX8200 M.2 NVMe ASX8200NP-960GT-C
328.00,2.5",SATA?,?,960,0.342,Adata,CPL,ADATA Premier SP550 2.5" 960GB SSD ASP550SS3-960GM-C
59.00,M.2,NVME,?,128,0.461,Adata,CPL,Adata 128GB SSD XPG SX6000 M.2 NVMe ASX6000NP-128GT
299.00,M.2,NVME,?,1000,0.299,Adata,CPL,Adata 1TB SSD XPG SX6000 M.2 NVMe ASX6000NP-1TT
99.00,M.2,NVME,?,240,0.412,Adata,CPL,Adata 240G M.2 NVME PCIe SSD ASX8200NP-240GT-C (3200/1700)
89.00,M.2,NVME,?,256,0.348,Adata,CPL,Adata 256GB SSD XPG SX6000 M.2 NVMe ASX6000NP-256GT
169.00,M.2,NVME,?,480,0.352,Adata,CPL,Adata 480G M.2 NVME PCIe SSD ASX8200NP-480GT-C (3200/1700)
149.00,M.2,NVME,?,512,0.291,Adata,CPL,Adata 512GB SSD XPG SX6000 M.2 NVMe ASX6000NP-512GT
65.00,2.5",SATA?,?,240,0.271,Adata,CPL,Adata ASU650SS-240GT-C SU650 240G 2.5" SSD
89.00,2.5",SATA?,?,480,0.185,Adata,CPL,Adata ASU650SS-480GT-C 480G SU650 2.5" SSD
99.00,2.5",SATA,SATA,512,0.193,Adata,CPL,Adata ASU800SS-512GT-C Premier SU800 512G 2.5'' SATA III SSD
179.00,M.2,?,?,512,0.350,Adata,CPL,Adata SP900 512GB M.2280 SSD ASP900NS38-512GM-C
9.00,?,?,Not storage,?,?,?,CPL,Bay Rafter 2.5 Inch to 3.5 Inch Convertor - BAY RAFTER 2.5 to 3.5
719.00,M.2,NVME,?,2000,0.359,Corsair,CPL,Corsair CSSD-F2000GBMP600 Force MP600 2TB NVMe PCIe x4 Gen4 SSD M.2(2280)
169.00,M.2,NVME,?,480,0.352,Corsair,CPL,Corsair CSSD-F480GBMP300 Force MP300 480GB M.2(2280) NVMe PCIe SSD
249.00,M.2,NVME,?,500,0.498,Corsair,CPL,Corsair CSSD-F500GBMP600 Force MP600 500GB NVMe PCIe x4 Gen4 SSD M.2(2280)
499.00,M.2,?,?,1920,0.260,Corsair,CPL,Corsair Force MP510 1920GB SSD M.2 SSD CSSD-F1920GBMP510
82.00,M.2,?,?,240,0.342,Corsair,CPL,Corsair Force MP510 240GB SSD M.2 SSD CSSD-F240GBMP510
259.00,M.2,?,?,960,0.270,Corsair,CPL,Corsair Force MP510 960GB SSD M.2 SSD CSSD-F960GBMP510
179.00,2.5",SATA,SATA,1000,0.179,Crucial,CPL,Crucial CT1000MX500SSD1 MX500 1TB 2.5" SATA SSD
34.00,2.5",SATA,SATA,120,0.283,Crucial,CPL,Crucial CT120BX500SSD1 BX500 120GB 2.5" SATA SSD
329.00,2.5",SATA,SATA,2000,0.165,Crucial,CPL,Crucial CT2000MX500SSD1 MX500 2TB 2.5" SATA SSD
349.00,2.5",SATA,SATA,2000,0.174,Crucial,CPL,Crucial CT2050MX300SSD1 MX300 2TB 2.5" SATA SSD 530/510MB/s 7mm w/9.5mm Adapter
63.00,M.2,?,?,250,0.252,Crucial,CPL,Crucial CT250MX500SSD4 MX500 250GB M.2 (2280) SSD
94.00,2.5",SATA,SATA,500,0.188,Crucial,CPL,Crucial CT500MX500SSD1 MX500 500GB 2.5" SATA SSD
94.00,M.2,NVME,?,500,0.188,Crucial,CPL,Crucial CT500P1SSD8 P1 500GB 3D NAND NVMe PCIe M.2 SSD
39.00,2.5",SATA?,?,120,0.325,Galax,CPL,Galax TGAA1D4T6TG32CNSBXKDXN 120GB Gamer V Series 2.5" SSD
98.00,M.2,NVME,?,256,0.383,Gigabyte,CPL,Gigabyte AORUS RGB 256GB M.2 NVMe SSD GP-ASM2NE2256GTTDR
718.00,M.2,NVME,?,2000,0.359,Gigabyte,CPL,Gigabyte GP-ASM2NE6200TTTD Aorus M.2 PCIe NVMe Gen4 SSD 2TB
249.00,M.2,NVME,?,500,0.498,Gigabyte,CPL,Gigabyte GP-ASM2NE6500GTTD Aorus M.2 PCIe NVMe Gen4 SSD 500GB 3D NAND
73.00,M.2,NVME,PCIe3 x4,256,0.285,Gigabyte,CPL,Gigabyte GP-GSM2NE3256GNTD 256GB M.2(2280) NVMe PCIE 3x4 SSD
39.00,M.2,NVME,?,128,0.305,Gigabyte,CPL,Gigabyte GP-GSM2NE8128GNTD M.2 PCIe NVMe SSD 128GB
105.00,M.2,NVME,?,512,0.205,Gigabyte,CPL,Gigabyte GP-GSM2NE8512GNTD M.2 PCIe NVMe SSD 512GB
159.00,2.5",SATA,SATA,512,0.311,Gigabyte,CPL,Gigabyte GP-GSTFS30512GTTD UD PRO 512GB 2.5" SATA SSD
85.00,2.5",SATA,SATA3,480,0.177,Gigabyte,CPL,Gigabyte GP-GSTFS31480GNTD SSD 480GB 2.5" SATA3
639.00,3.5",SATA?,?,10000,0.064,?,CPL,HGST 0F27607 HUH721010ALN600 HE10 10TB 3.5" ULTRA  Active Archive 4KN
509.00,3.5",SATA,SATA,8000,0.064,?,CPL,HGST 0F27610 Ultrastar 8TB 3.5" SATA Ultrastar He10 Enterprise Hard Drive
799.00,3.5",SATA,RPM:  7200,12000,0.067,?,CPL,HGST 0F30146 3.5' 12TB 256MB 7200RPM HE12_ SATA ULTRA 512E SE_ HUH721212ALE604
479.00,3.5",SATA,RPM:  7200,8000,0.060,?,CPL,HGST H3IKNAS800012872SWW 0S04012 NAS 8TB 3.5" SATA 7200RPM 128MB HDD
399.00,2.5",SAS,RPM: 10000,900,0.443,?,CPL,HGST HUC101890CS4200 0B27975 C10K1800 2.5" 900GB SAS 12Gb/s 10K RPM 128M 512e ISE HDD
559.00,3.5",SATA,RPM:  7200,8000,0.070,?,CPL,HGST HUH721008ALE600 0F27610 3.5" 8TB 256MB 7200RPM SATA 12GBs 512E ISE HE10
399.00,3.5",SATA,RPM:  7200,6000,0.067,?,CPL,HGST HUS726060ALE610 3.5' 6TB 128MB 7200RPM SATA 512E ISE_ 7K6000_ 0F23001
599.00,2.5",SATA?,RPM:  7200,1000,0.599,HP,CPL,HP 1TB 7.2K 2.5" MDL SC HDD  832514-B21
399.00,2.5",SAS,RPM: 10000,600,0.665,HP,CPL,HP 872477-B21 600GB SAS 10K SFF SC DS HDD
290.00,2.5",SAS,RPM: 10000,300,0.967,HP,CPL,HPE 872475-B21 300GB SAS 10K SFF SC DS Hard Drive
547.00,?,SAS,?,8000,0.068,Hitachi,CPL,Hitachi 0F27406 8TB SAS Hard Drive
219.00,?,SATA,SATA3,2000,0.110,Hitachi,CPL,Hitachi 7K6000 2TB SATA3 UltraStar 0F23009
219.00,3.5",SATA,RPM:  7200,2000,0.110,Hitachi,CPL,Hitachi HGST 1W10002 3.5in 2TB SATA3 7200RPM UltraStar HDD
25.00,M.2,NVME,PCIe3,16,1.562,Intel,CPL,INTEL MEMPEK1W016GAXT OPTANE MEMORY_ 16GB_ M.2 2280 PCIe 3.0 NVMe_ 3D XPOINT_ 5YR WTY
59.00,M.2,NVME,PCIe3,32,1.844,Intel,CPL,INTEL MEMPEK1W032GAXT OPTANE MEMORY_ 32GB_ M.2 2280 PCIe 3.0 NVMe_ 3D XPOINT_ 5YR WTY
939.00,?,?,Too many matching size buzzwords,?,?,?,CPL,INTEL SSDPE21D480GAM3 905P SERIES SSD 480GB_ 2.5" PCIe 3.1 x4_ OPTANE_ W/ M.2 KIT_ 5YR WTY
165.00,M.2,?,?,1000,0.165,Intel,CPL,INTEL SSDPEKNW010T8X1 SSD 660p Series 1.0TB M.2 80mm
85.00,2.5",SATA?,?,256,0.332,Intel,CPL,INTEL SSDSC2KW256G8X1 256GB SSD 2.5 ST 6.00 NAND
95.00,2.5",SATA,SATA,256,0.371,Intel,CPL,INTEL SSDSC2KW256G8XT 256GB 545s 2.5" SATA SSD
149.00,M.2,?,?,240,0.621,Intel,CPL,INTEL SSDSCKKB240G801 SSD D3-S4510 Series 240GB M.2
379.00,M.2,?,?,960,0.395,Intel,CPL,INTEL SSDSCKKB960G801 SSD D3-S4510 Series 960GB M.2
1329.00,2.5",SATA,SATA3,3840,0.346,Intel,CPL,Intel 3.84TB SSD D3-S4510 Series SSDSC2KB038T801 2.5" SATA3
